Date,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Cryptoname
2021-10-08,3589.85,3675.41,3531.00,3563.81,1501949.850,2021-10-09,5420718273.95965,2075941,720668.640,2601563902.92571,ETHUSDT
2021-10-09,3563.82,3639.00,3538.10,3577.80,907875.164,2021-10-10,3261401758.35606,1418747,445053.052,1599055736.57207,ETHUSDT
2021-10-10,3577.65,3607.55,3402.12,3415.01,1518799.428,2021-10-11,5358091720.90991,2016636,721059.813,2544938381.98907,ETHUSDT
2021-10-11,3415.01,3629.00,3368.00,3543.10,1874616.227,2021-10-12,6627188014.14814,2262233,919723.523,3250484369.02472,ETHUSDT
2021-10-12,3543.09,3549.82,3404.00,3492.91,1986800.415,2021-10-13,6921948842.21512,2392794,977692.916,3406794841.17882,ETHUSDT
2021-10-13,3492.90,3618.00,3412.29,3610.05,1635415.204,2021-10-14,5716317657.28848,2084243,801642.758,2803365164.91347,ETHUSDT
2021-10-14,3610.24,3830.00,3590.02,3794.19,1736537.630,2021-10-15,6464841242.57513,2332774,867265.924,3228878046.14481,ETHUSDT
2021-10-15,3794.18,3915.00,3737.13,3872.71,1828015.586,2021-10-16,6986614680.17821,2438373,884463.565,3380799074.48406,ETHUSDT
2021-10-16,3872.70,3980.00,3801.38,3833.30,1398494.278,2021-10-17,5439841445.65477,1984170,666219.083,2592247694.30976,ETHUSDT
2021-10-17,3833.29,3925.95,3634.32,3851.01,1611014.925,2021-10-18,6142893874.59043,2079490,763546.772,2912699232.61464,ETHUSDT
2021-10-18,3851.17,3898.94,3675.50,3748.31,1768303.025,2021-10-19,6698042946.90319,2303134,840165.168,3182931092.99356,ETHUSDT
2021-10-19,3748.10,3893.00,3734.93,3881.48,1769755.526,2021-10-20,6744236733.28791,2184932,853448.160,3253336516.50316,ETHUSDT
2021-10-20,3881.49,4173.50,3830.00,4164.14,2278334.962,2021-10-21,9128464233.64793,2735839,1109894.428,4446973869.32744,ETHUSDT
2021-10-21,4164.13,4389.60,4006.83,4057.26,3807814.197,2021-10-22,15910566499.34866,4598848,1826101.524,7632447592.21618,ETHUSDT
2021-10-22,4057.26,4172.52,3888.00,3975.56,2113125.983,2021-10-23,8543803309.03356,2795912,1004386.634,4061459435.37215,ETHUSDT
2021-10-23,3975.55,4177.27,3940.60,4170.50,1494374.557,2021-10-24,6054898527.29019,2032409,735313.136,2980216071.72589,ETHUSDT
2021-10-24,4170.50,4191.72,3962.86,4084.61,1501860.773,2021-10-25,6104092135.26068,2070642,716836.924,2913612051.11246,ETHUSDT
2021-10-25,4084.60,4240.03,4071.37,4224.14,1389123.020,2021-10-26,5782790674.75053,1960444,676590.015,2816953204.88268,ETHUSDT
2021-10-26,4224.13,4306.61,4092.00,4133.39,1665700.699,2021-10-27,6994107155.70646,2254733,799763.573,3358650438.28458,ETHUSDT
2021-10-27,4133.37,4319.00,3900.00,3923.57,2642128.851,2021-10-28,10763105133.42980,3282041,1274210.176,5191588040.94385,ETHUSDT
2021-10-28,3923.58,4300.00,3887.75,4288.96,2233903.498,2021-10-29,9229357434.93807,2965480,1112479.835,4597444835.22805,ETHUSDT
2021-10-29,4288.91,4467.89,4269.16,4421.53,1862409.480,2021-10-30,8133818992.52625,2761100,915098.117,3997337296.06153,ETHUSDT
2021-10-30,4421.53,4438.85,4230.55,4324.82,1145688.807,2021-10-31,4951230218.09777,1733391,551374.062,2383535694.82875,ETHUSDT
2021-10-31,4324.82,4399.22,4161.00,4288.86,1308821.315,2021-11-01,5597512700.72108,1990711,638363.292,2730513861.93252,ETHUSDT
2021-11-01,4288.87,4385.57,4145.00,4322.72,1541230.772,2021-11-02,6622171137.33538,2186831,752941.695,3236146111.10720,ETHUSDT
2021-11-02,4322.72,4604.96,4286.67,4593.88,1477069.747,2021-11-03,6575344469.33907,2278283,739104.647,3290762873.05805,ETHUSDT
2021-11-03,4593.17,4676.00,4456.00,4606.59,1476260.698,2021-11-04,6750265632.46388,2340677,732460.112,3349860673.98463,ETHUSDT
2021-11-04,4606.59,4611.23,4423.09,4535.37,1202357.813,2021-11-05,5431479120.96728,1818589,576930.698,2606693494.93029,ETHUSDT
2021-11-05,4535.38,4575.00,4445.10,4477.29,967384.995,2021-11-06,4358883948.49716,1620292,468704.582,2112249158.29508,ETHUSDT
