Date,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Cryptoname,FAGI,RSI
2021-05-03,2950.91,3459.80,2950.70,3433.36,5116980.548,2021-05-04,16382343434.80363,4435590,2523981.921,8079138870.44331,ETHUSDT,61,92.03640238849749
2021-05-04,3433.70,3529.64,3160.01,3243.67,6940584.205,2021-05-05,23227206677.60779,6222637,3325643.633,11132319408.91274,ETHUSDT,68,78.33654429660783
2021-05-05,3243.65,3552.74,3211.00,3528.49,3838631.919,2021-05-06,12937893760.98514,3812962,1828421.199,6165478151.93019,ETHUSDT,48,82.53925840970915
2021-05-06,3528.74,3616.00,3380.25,3493.16,3041910.825,2021-05-07,10632727893.23226,3211347,1460630.147,5106732732.74472,ETHUSDT,65,80.45424470577083
2021-05-07,3493.17,3592.00,3355.00,3480.98,2326172.061,2021-05-08,8094167086.99724,2597356,1121017.927,3901672633.03948,ETHUSDT,64,79.70670964459379
2021-05-08,3480.98,3964.83,3451.74,3914.47,3128854.033,2021-05-09,11602305090.60812,3543096,1543104.593,5721778308.19867,ETHUSDT,67,85.03579550715916
2021-05-09,3914.95,3985.55,3730.00,3928.01,3118238.261,2021-05-10,12120213502.67268,3541487,1489308.178,5789340832.26717,ETHUSDT,73,85.16682188174939
2021-05-10,3927.83,4214.92,3658.00,3950.33,5052309.882,2021-05-11,20426765812.22148,5506108,2401491.793,9708868439.74796,ETHUSDT,72,85.39386101920022
2021-05-11,3950.32,4183.52,3778.17,4175.91,3394479.287,2021-05-12,13477585470.55893,4132170,1643472.063,6525844552.70293,ETHUSDT,61,87.47966524303897
2021-05-12,4175.85,4379.18,3723.43,3828.99,4928002.067,2021-05-13,20540714054.05621,6206838,2381766.125,9932240244.71696,ETHUSDT,68,70.74717297628149
2021-05-13,3829.89,4036.45,3491.53,3719.45,5852199.813,2021-05-14,22134721314.84749,7847323,2881570.744,10897586878.17049,ETHUSDT,31,66.42676550201331
2021-05-14,3719.44,4175.00,3692.99,4079.99,3063526.292,2021-05-15,12181077842.13998,4229804,1499384.639,5960889474.74030,ETHUSDT,26,72.40091067275287
2021-05-15,4079.98,4137.21,3634.44,3648.98,3321250.207,2021-05-16,12859384950.05047,4473474,1601646.176,6202437951.27844,ETHUSDT,27,58.906235566579866
2021-05-16,3649.01,3882.76,3348.00,3581.39,4223938.158,2021-05-17,15266100829.69663,5514066,2054868.442,7429862606.30034,ETHUSDT,20,57.10860782860991
2021-05-17,3581.39,3587.00,3125.00,3283.58,5745286.600,2021-05-18,19279667315.49166,6763734,2792571.308,9371825418.54495,ETHUSDT,27,49.885060716206446
2021-05-18,3283.23,3570.27,3240.06,3376.35,3842243.270,2021-05-19,13102791083.02771,4889289,1915117.725,6532315781.50124,ETHUSDT,21,51.92501780429513
2021-05-19,3377.03,3446.24,1400.73,2442.98,10144417.228,2021-05-20,27803524889.35709,13310540,4896426.248,13447853938.43437,ETHUSDT,23,36.03284340717348
2021-05-20,2444.02,2990.85,2150.00,2768.42,6097256.740,2021-05-21,16113950567.52409,8152933,3045103.569,8046026598.80096,ETHUSDT,11,42.62641100327847
2021-05-21,2768.42,2940.00,2097.99,2431.01,6041584.187,2021-05-22,15265695041.77466,7619795,3002881.625,7590079388.51843,ETHUSDT,19,38.22690190067306
2021-05-22,2431.24,2489.65,2151.63,2295.15,4564819.521,2021-05-23,10666152727.52536,5861628,2276612.686,5320447399.81974,ETHUSDT,12,36.58933766678963
2021-05-23,2295.46,2383.41,1728.85,2096.63,7797669.636,2021-05-24,15783098848.93368,8787549,3868683.892,7830214434.99649,ETHUSDT,14,34.27860491280284
2021-05-24,2096.62,2675.00,2079.00,2649.27,5714266.276,2021-05-25,13586348325.92198,6572796,2888492.485,6867006552.58782,ETHUSDT,10,44.74079360600661
2021-05-25,2649.49,2750.00,2380.60,2706.83,5322472.943,2021-05-26,13694505271.63173,6447582,2649888.786,6818994310.55818,ETHUSDT,22,45.710180898015146
2021-05-26,2706.82,2913.00,2642.87,2884.27,4052111.799,2021-05-27,11285324614.47753,5030449,2010815.395,5600635032.75649,ETHUSDT,22,48.69792265346096
2021-05-27,2884.16,2893.03,2634.00,2742.77,3441489.934,2021-05-28,9494992137.75452,4319043,1705466.734,4706175422.03625,ETHUSDT,27,46.50021839770403
2021-05-28,2742.77,2763.57,2324.48,2411.66,4733066.731,2021-05-29,11983057928.13767,5232829,2351420.368,5952599717.66833,ETHUSDT,21,41.75194157208354
2021-05-29,2411.65,2577.04,2208.04,2277.99,4468023.064,2021-05-30,10655588004.12472,4840289,2224437.983,5305831156.73819,ETHUSDT,18,39.97718191334885
2021-05-30,2277.99,2476.83,2179.13,2386.11,3642984.366,2021-05-31,8645260126.70548,4099827,1829724.072,4344140117.22053,ETHUSDT,10,42.120299117730106
2021-05-31,2386.11,2721.51,2271.46,2706.33,4203920.413,2021-06-01,10502558832.11788,4606980,2127706.772,5315402534.37889,ETHUSDT,18,48.037871428876535
2021-06-01,2706.46,2741.45,2523.82,2634.63,3779985.270,2021-06-02,9868610856.33613,4328581,1874417.798,4893405954.83614,ETHUSDT,20,46.88207978308529
2021-06-02,2634.61,2804.04,2551.03,2707.22,3026897.821,2021-06-03,8165015125.37414,3628070,1497245.448,4039000743.15122,ETHUSDT,23,48.23987244604586
2021-06-03,2707.03,2892.23,2662.00,2858.34,3561113.235,2021-06-04,9987629061.44338,3961169,1761073.142,4939376330.32195,ETHUSDT,24,51.04540730200548
2021-06-04,2858.34,2861.53,2540.61,2689.21,4343826.882,2021-06-05,11593942225.54805,4514677,2145096.852,5724310646.12483,ETHUSDT,27,47.91517345709409
2021-06-05,2689.41,2817.43,2550.77,2627.45,3876375.640,2021-06-06,10381974440.23042,4216220,1923355.981,5151771632.31928,ETHUSDT,24,46.78689662477586
2021-06-06,2627.44,2744.00,2613.11,2711.4,2719341.885,2021-06-07,7316997901.78934,3156256,1372571.614,3693566169.91522,ETHUSDT,17,48.56003001797857
2021-06-07,2711.30,2849.65,2569.30,2592.96,4175255.701,2021-06-08,11416987186.62013,4541784,2065514.600,5651121426.14238,ETHUSDT,15,46.22003222992095
2021-06-08,2592.51,2621.27,2305.50,2506.19,6567894.086,2021-06-09,16237479290.57325,5951981,3267501.378,8077646681.31604,ETHUSDT,13,44.527185543614934
2021-06-09,2506.13,2627.38,2404.01,2610.2,5127988.288,2021-06-10,12928474320.41501,4862437,2585705.673,6519327843.36852,ETHUSDT,14,47.03153512889722
2021-06-10,2610.20,2624.79,2423.36,2471.11,3151629.315,2021-06-11,7963220022.58071,3512649,1565308.759,3955721947.05576,ETHUSDT,21,44.16040241135952
2021-06-11,2471.05,2497.94,2320.00,2354.25,2932342.336,2021-06-12,7111141085.93231,3385342,1468403.158,3562014656.27138,ETHUSDT,21,41.8488572882674
2021-06-12,2354.25,2452.79,2255.42,2370.59,3349184.786,2021-06-13,7889597212.00103,3729689,1684859.146,3968907637.81159,ETHUSDT,28,42.3036240777174
